configuration_id,representative_report_id,citation_key,title,report_lineage_id,reports_in_lineage,task_and_failure_regime,learned_role_in_execution,execution_time_protection,validation_exposure_code,validation_exposure,command_path_summary,final_evaluation_summary,supported_operating_scope
CU_R063,R063,lee2023reinforcement,Reinforcement learning-based virtual fixtures for teleoperation of hydraulic construction machine,L010_LEE_BROKK_170_DATA_MODEL,2,Structural Assembly and Installation,Bounded shared control,Boundary monitoring,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration","Five novices perform one guided and one unguided hammer-insertion condition, apparently in a fixed guided-first order, with participant-specific start and target positions. End-effector paths and NASA-TLX means are shown.","Supports supervised Brokk teleoperation for the stated 8 cm into 10 cm borehole task, fixed perception arrangement, and five-person sample only."
CU_R064,R064,li2023enhancing,Enhancing construction robot learning for collaborative and long-horizon tasks using generative adversarial imitation learning,L013_HUANG_LI_WINDOW_COLLABORATION_SIMULATION,2,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Each trained model is evaluated for 1,000 trials on its individual subtask. Randomized installation is also rescored after relaxing position and orientation thresholds from 0.05 to 0.1.","Supports the stated virtual UGV and two-arm environments, coordinate randomization, and geometric thresholds; collision, physical sensing, end-to-end coordination, fastening, standards, and recovery remain outside scope."
CU_R065,R065,yasutomi2023visual,Visual spatial attention and proprioceptive data-driven reinforcement learning for robust peg-in-hole task under variable conditions,SINGLETON_R065,1,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration","Offline evaluation totals 5,760 tests per model. Physical online results report 93.9 plus or minus 0.7% and 8.21 plus or minus 0.22 s, with denominator unstated.","Supports the specified anchor-bolt rig, not active-site deployment or multi-bolt workflow continuity."
CU_R066,R066,duan2025training,Training of construction robots using imitation learning and environmental rewards,SINGLETON_R066,1,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration",Each policy is executed 100 times in the performance table. Group 4 reports 97% installation and Group 8 reports 82%; physical replication is unstated.,"Supports laboratory trajectory learning with terminal IK, not full window installation or recovery."
CU_R067,R067,duan2025visual,Visual--tactile learning of robotic cable-in-duct installation skills,SINGLETON_R067,1,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration","Four physical experiments per method, pipe diameter, and grasp mode. FSTR-Net rough/precise success is 100/100%, 100/100%, and 50/100% for 25, 20, and 16 mm pipes.","Supports the reported sensor, pipe sizes, grasp modes, and fixture, not confined live switchgear or site-scale routing."
CU_R068,R068,li2025cutaway_crane,Cutaway View Learning for Visually-Guided Assembly with Crane,SINGLETON_R068,1,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Four final-phase insertion geometries are tested. Table I reports one attempt per trial and 100 trials per success-rate cell for proposed variants, privileged ablations, nonprivileged baselines, and open-loop kinodynamic RRT. Policies requiring privileged simulator data are not run in Drake. No reset-and-retry logic is active.","Supports simulator-level final-phase placement of one rectangular beam into four idealized target geometries under stated randomization and a second physics engine. Physical crane execution, broader payloads, joint acceptance, force/damage outcomes, reset, retry, and construction workflow remain outside scope."
CU_R069,R069,Navazani2026622,Reinforcement learning-based motion planning for robotic bricklaying in construction environments,SINGLETON_R069,1,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","The converged policy is tested in 100 consecutive simulated episodes from fixed initial and target brick positions; 82 placements succeed, and pose errors are summarized over successful trials.","Supports the stated UR5e model, one brick, fixed poses, simulator contacts, and shaped phase rewards; pose generalization, physical transfer, mortar, accepted tolerance, multi-brick work, and recovery remain outside scope."
CU_R070,R070,yu_teaching_2025,Teaching Robot End Effectors to Grasp Construction Tools Based on Deep Reinforcement Learning,SINGLETON_R070,1,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Virtual grasping is assessed over a stated 100 trials using a 0.2-m lift threshold; six figure-level rates are reported, but denominator allocation is ambiguous.","Supports the stated PyBullet KUKA environment and lift threshold; physical grasping, tool use, wear, contact uncertainty, and recovery remain outside scope."
CU_R071,R071,jin2026harnessing,Harnessing Human Expertise for High-Precision Robotic Assembly in Industrialized Construction: A Sample-Efficient Installer-in-the-Loop Interactive Reinforcement Learning Framework,SINGLETON_R071,1,Structural Assembly and Installation,Bounded skill or supervisory,Command intervention,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","At every checkpoint, the frozen policy is run for 100 autonomous rollouts with intervention and manual termination disabled. Final tables compare nine baselines or ablations in structured staging and randomized ground placement.","Supports simulated window seating with 2-mm per-side clearance, two bounded initial-pose regimes, and the specified contact randomization; physical transfer, multi-operator reproducibility, construction sensing, certified safety, substrate variability, weather, and field workflow remain outside scope."
CU_R072,R072,Wang2026104580,Mixed reality and machine learning-guided cable robot framework (MMCR) for real-time prefabricated construction automation,SINGLETON_R072,1,Structural Assembly and Installation,Bounded skill or supervisory,Command intervention,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration","Four controlled groups of ten participants assemble the same 49-component task using 2D, MR-only, manual MR--robot, or MMCR workflows. User verification of grasp and placement remains in the ML condition.","Supports lightweight structured assembly, the stated prototypes, and supervised MR workflow; heavy payload, outdoor operation, long duration, and recovery remain outside scope."
CU_R080,R080,zhang2025abm_td3,Synchronous Control of Multiple Hydraulic Cylinders in Aerial Building Machine Using Improved Deep Reinforcement Learning,L012_ZHANG_ABM_SYNCHRONOUS_JACKING,2,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,Not used in comparative authority distribution,"Project-calibrated hydraulic simulation and finite-element analysis compare equivalent, PID/master-slave, and learned control under reported load cases and 12 m/s wind loading.","Supports direct learned valve control in the reported project-calibrated simulation and structural analysis; it does not support physical ABM control, tested fail-safe behavior, or on-site recovery despite the source's real-project wording."
CU_R083,R083,tarutani2020accuracy,Accuracy and Generality of Trained Models for Lift Planning Using Deep Reinforcement Learning-Optimization of the Crane Hook Movement between Two Points,SINGLETON_R083,1,Material Placement and Lifting,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration",Trajectory-length inspection covers six start--target distances; reachability is mapped categorically for default and larger virtual cranes. No repeated probabilistic success denominator is reported.,"Supports unloaded two-point hook motion in the specified Unity environments; optimality, obstacles, payload swing, physical tracking, recovery, placement, scheduling, and field operation remain outside scope."
CU_R084,R084,cho2022reinforcement,Reinforcement learning-based simulation and automation for tower crane {3D} lift planning,SINGLETON_R084,1,Material Placement and Lifting,Task/planner-level,No reported active execution-time protection,L0,L0 — Simulation only,Task- or planner-level learned decisions,Each of six policies is tested on 100 virtual scenarios in familiar Task 1 and unfamiliar Task 2. Model 3 is subsequently evaluated in BIM models of two actual sites under 62 observed pick--set conditions; simulated durations are compared with recorded operator times.,"Supports virtual tower-crane motion planning and cycle-time comparison for the reported crane model and BIM conditions. It does not support autonomous field lifting, execution-time safety, collision recovery, or human-aware workflow continuation."
CU_R087,R087,wang2024integrated,Integrated reinforcement and imitation learning for tower crane lift path planning,SINGLETON_R087,1,Material Placement and Lifting,Task/planner-level,No reported active execution-time protection,L0,L0 — Simulation only,Task- or planner-level learned decisions,"Each scenario uses 100 randomized learned-policy paths and corresponding 100-path baselines and expert comparisons. Reported outcomes include time and path errors, coordination, visibility, and collision-free success.","Supports single-crane, static-geometry, blind and nonblind simulated lifting with one expert's demonstrations; physical policy execution, hook dynamics, workers, and multi-crane interaction remain outside scope."
CU_R088,R088,cheng2025deep,Deep Reinforcement Learning for Tower Crane Layout Planning in Dense Multi-Building Sites,SINGLETON_R088,1,Material Placement and Lifting,Task/planner-level,No reported active execution-time protection,L0,L0 — Simulation only,Task- or planner-level learned decisions,"Cases contain five through ten buildings and report average coverage with error bars. Replication counts, seeds, placement cost, crane-count outcomes, and baseline comparisons are not stated.","Supports the stated layout grid, fixed building clusters, coverage objective, and action mask; operational feasibility, dynamic construction, lift safety, productivity, physical deployment, and generalization remain outside scope."
CU_R089,R089,xiao2025_modular,Autonomous modular construction strategy using robotized crane based on deep learning and reinforcement learning,SINGLETON_R089,1,Material Placement and Lifting,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Four increasingly complex PyBullet cases each use 100 randomized construction scenarios with three modules. Reported success is 1.00, 0.97, 0.99, and 0.99; mean action coordination is 0.76, 0.74, 0.75, and 0.77 m per step.","Supports the specified static PyBullet environments, COPMA 510_ENG kinematics, fixed sensors, and virtual modules; nonlinear crane dynamics, physical payloads, dynamic agents, and field safeguards remain outside scope."
CU_R090,R090,xiao2025autonomous,Autonomous construction framework for crane control with enhanced soft actor--critic algorithm and real-time progress monitoring,L002_XIAO_ROBOTIZED_CRANE_PLATFORM,5,Material Placement and Lifting,Bounded skill or supervisory,Command intervention,L4,L4 — Near-operational field trial,Task- or planner-level learned decisions,"One full-scale demonstration transports one pre-attached block to the third wall level while avoiding one predefined wooden obstacle. Sunny, cloudy, and rainy operation is stated without denominators.","Supports the stated crane, one block, one obstacle, and supervised exclusion-zone configuration; dynamic obstacles, repeated lifts, higher speed, and autonomous orientation correction remain outside scope."
CU_R091,R091,xiao2026remote_5g_backstepping,A reinforcement learning and nonlinear adaptive backstepping hierarchical control for autonomous remote construction using 5G network,L002_XIAO_ROBOTIZED_CRANE_PLATFORM,5,Material Placement and Lifting,Task/planner-level,Command intervention,L4,L4 — Near-operational field trial,Task- or planner-level learned decisions,"Joint tracking comparisons use sine references. The on-site retaining-wall experiment transported 60 concrete blocks, each weighing 2,400 kg; the report gives the block count but not an independent repetition or failure-count denominator.","Supports the named crane, commercial 5G link, fixed obstacle, predefined block targets, and nominal demonstration; quantified network robustness, wind, sway, singularities, repeated reliability, autonomous replanning, and general field operation remain outside scope."
CU_R095,R095,Yin202288,A Real-time Smooth Lifting Path Planning for Tower Crane Based on {TD3} with Discrete-Continuous Hybrid Action Space,L014_YIN_WANG_TOWER_CRANE_HYBRID_TD3,2,Material Placement and Lifting,Task/planner-level,No reported active execution-time protection,L0,L0 — Simulation only,Task- or planner-level learned decisions,"Two randomly chosen training layouts yield 92% success; layouts with different obstacle positions yield 86%. TD3 and the hybrid method both find example paths, and comparisons with GA and PRM report decision time below 0.01 s for DRL. Ten dynamic-obstacle trials vary planning start time while two obstacles move at 1.5 m/s; all ten produce feasible paths. The report does not give clearance distributions, collision counts, uncertainty, or independent seeds for these final tests.","Supports real-time hybrid-action path selection in the reported Webots layouts, including bounded moving-obstacle tests. It does not support safe physical tower-crane execution, suspended-load regulation, collision recovery, or construction workflow resumption."
CU_R096,R096,mohiuddin2023zero,Zero-shot Sim2Real transfer of Deep reinforcement learning controller for tower crane system,SINGLETON_R096,1,Material Placement and Lifting,Bounded skill or supervisory,Boundary monitoring,L1,L1 — Isolated laboratory hardware,"Mediated skill/reference, supervisory, or shared-control configuration","Simulation compares DDPG with a PI controller and applies an external load disturbance at 6 s. A laboratory experiment plots one approximately 9 s response for a 0.35 m trolley move and load-swing damping. No repeated-trial count, failure rate, confidence interval, payload variation, or disturbance trial on hardware is reported.","Supports zero-shot deployment of the reported one-dimensional DDPG controller on a laboratory INTECO trolley-and-pendulum apparatus for one illustrated motion. It does not support three-dimensional crane control, full-scale lifting, field disturbances, repeated-trial reliability, independent safeguarding, or recovery."
CU_R099,R099,wang2024deep,Deep reinforcement learning based online lifting path planning for tower cranes in unknown dynamic environments,L014_YIN_WANG_TOWER_CRANE_HYBRID_TD3,2,Material Placement and Lifting,Task/planner-level,Command intervention,L0,L0 — Simulation only,Task- or planner-level learned decisions,"Six unseen simulated environments contain ten transport tasks, each repeated ten times, for 600 trials used to examine path-length consistency and failures. Some trials collide near congested targets. A separate comparison across the six environments reports 88.33% success, 72.6 m path length, 3.11 operation-complexity coefficient, and 15.5 path steps for the proposed method; comparator success rates are 70% and 76.5%. Metrics other than success use episodes solved by all methods. No hardware or repeated physical test is reported.","Supports hybrid-action online path planning in the reported Webots environments and documents residual failures near congested goals. It does not support safe physical tower-crane execution, load-sway control, sensor robustness, collision recovery, or workflow resumption."
CU_R100,R100,zamfirache2024adaptive,Adaptive reinforcement learning-based control using proximal policy optimization and slime mould algorithm with experimental tower crane system validation,L003_ZAMFIRACHE_LAB_TOWER_CRANE_PLATFORM,2,Material Placement and Lifting,Bounded skill or supervisory,Boundary monitoring,L1,L1 — Isolated laboratory hardware,"Mediated skill/reference, supervisory, or shared-control configuration","One reported 70 s, 7,000-step payload-position experiment compares adaptive SMA--PPO with fixed-rate PPO through tracking, control-signal, learning-rate, and cost plots. The source describes a slight improvement but reports no repeated runs, uncertainty, disturbance test, or independent baseline beyond fixed-rate PPO.","Supports online adaptive learning-rate selection for payload-position tracking on the reported laboratory tower crane in a disturbance-free regime. It does not support disturbance rejection, stability or safety guarantees, full-scale lifting, field operation, or failure recovery."
CU_R103,R103,zamfirache2025safe,Safe reinforcement learning-based control using deep deterministic policy gradient algorithm and slime mould algorithm with experimental tower crane system validation,L003_ZAMFIRACHE_LAB_TOWER_CRANE_PLATFORM,2,Material Placement and Lifting,Bounded skill or supervisory,No reported active execution-time protection,L2,L2 — Varied laboratory hardware,"Mediated skill/reference, supervisory, or shared-control configuration","Tracking metrics and safety penalty are compared on the laboratory tower crane. Table 1 averages settling time, rise time, peak time, and overshoot over 500 trials, experiments 2,500--3,000. The proposed and classical safe-DDPG controllers have similar tracking metrics; cumulative state-safety scores are 3.40 and 3.64. Videos illustrate selected real-time trials.","Supports repeated online learning and payload-position tracking on the reported laboratory tower crane with penalty-defined state ranges. It does not support a hard safety guarantee, independent runtime shielding, stability proof, full-scale lifting, field disturbance response, or workflow recovery."
CU_R108,R108,xiao2026llm_rl_progress,Large Language Model and Reinforcement Learning Based Autonomous Construction and Progress Updates,L002_XIAO_ROBOTIZED_CRANE_PLATFORM,5,Material Placement and Lifting,Task/planner-level,Command intervention,L4,L4 — Near-operational field trial,Not used in comparative authority distribution,"Thirty-five full-scale retaining-wall experiments used a robotized COPMA 430_ENG crane and a 2,400 kg concrete block measuring 1.6 x 0.8 x 0.8 m. Experiments included obstacle-free and obstacle-present cases and lasted about four minutes each. Six placements failed by 1--3 cm, yielding about 83% success.","Supports full-scale execution of a reused SAC-E crane planner with classical kinematic/PID control, progress reporting, and an LLM-mediated human-presence stop/resume function under monitored retaining-wall experiments. It does not support independent-policy replication, autonomous correction after placement failure, unattended operation, or production-duration reliability."
CU_R109,R109,xiao2026retaining_wall_crane,Development and Implementation of Machine Learning–Based Hierarchical Approach for Autonomous Retaining Wall Construction Using a Robotized Crane,L002_XIAO_ROBOTIZED_CRANE_PLATFORM,5,Material Placement and Lifting,Task/planner-level,No reported active execution-time protection,L4,L4 — Near-operational field trial,Not used in comparative authority distribution,"Simulation evaluates 1,000 tasks for each of three obstacle types and reports PPO-I success rates of 98.3%, 98.7%, and 97.1%. A full-scale controlled construction-site experiment uses a robotized mobile crane, concrete blocks, a 1.1 x 1.1 x 1.6 m wooden obstacle on a 1.5 m flatbed, and repeated placements to complete a retaining wall.","Supports full-scale autonomous block transport and repeated retaining-wall placement under the reported static-obstacle, normal-light, low-speed, fixed-hook, and controlled-site conditions. It does not support underactuated swing regulation, moving-obstacle response, failure recovery, or unattended sustained deployment."
CU_R110,R110,felbrich2022autonomous,Autonomous robotic additive manufacturing through distributed model-free deep reinforcement learning in computational design environments,SINGLETON_R110,1,Additive Manufacturing and Surface Processing,Bounded skill or supervisory,Command intervention,L1,L1 — Isolated laboratory hardware,"Mediated skill/reference, supervisory, or shared-control configuration","Block outcomes are qualitative: TD3 fails physically and SAC builds four- to six-block towers. Simulated printing reaches up to seven segments; no repeated success rate, material-quality endpoint, or held-out physical test is reported.","The counted configuration is UR10 block stacking with a 12-by-12 spatial heightmap observation and planner-mediated joint-space release poses. The separate simulated printing case uses a compressed volumetric representation and is not counted as an additional configuration here; physical additive manufacturing, repeated reliability, structural integrity, material-state regulation, defect recovery, and site scale remain outside scope."
CU_R111,R111,wang_reinforcement_2025,Reinforcement learning-based continuous path planning and automated concrete {3D} printing of complex hollow components,SINGLETON_R111,1,Additive Manufacturing and Surface Processing,Task/planner-level,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Task- or planner-level learned decisions,"Software comparisons use three complex hollow cross-sections and report path length, breakpoints, intersections, and filling error. Physical evaluation prints one half-scale roof segment using ten middle layers of the source model at 1-cm layer height and 100% nominal fill.","Supports offline continuous path planning and one conditioned printing demonstration for the reported geometry, scale, material setup, and layer range. It does not support adaptive extrusion control, defect containment, recovery, full-scale printing, or structural qualification."
CU_R112,R112,parisi2024new,A New Concept for Large Additive Manufacturing in Construction: Tower Crane-Based {3D} Printing Controlled by Deep Reinforcement Learning,SINGLETON_R112,1,Material Placement and Lifting,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","A simulated 2 m-high curved wall of 10 m radius comprises 40 layers of 0.05 m. Each layer receives a separately sampled sinusoidal force disturbance with amplitude -200--200 N, frequency 6.28--62.8 rad/s, phase 0--0.35 rad, and bias 0--30 N. The TD3-controlled and uncontrolled models are compared against the prescribed trajectory and Eurocode masonry tolerances.","Supports simulated trajectory stabilization for one semicircular wall geometry under the specified transverse force distributions. It does not support physical extrusion, arbitrary toolpaths without retraining, wind and pumping disturbances, sensor-based control, full-scale deployment, safety containment, or failed-layer recovery."
CU_R113,R113,gao2026spraying_sac,Trajectory Planning for a Spraying Robotic Arm Using a Digital Twin and an Improved SAC Algorithm,SINGLETON_R113,1,Additive Manufacturing and Surface Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,Not used in comparative authority distribution,Simulation evaluation in the same digital-twin class on a two-dimensional S-shaped reference trajectory; trajectory and spraying-process proxy metrics reported across eight independent runs.,"Supports simulated joint-velocity trajectory planning for the reported 4-DOF arm, digital-twin geometry, proxy process variables, and S-shaped path; does not support physical spraying, autonomous defect recovery, or continued workflow operation."
CU_R114,R114,babu2021terrain,Terrain adaption controller for a walking excavator robot using deep reinforcement learning,L009_ARTER_WALKING_EXCAVATOR_SIMULATION,2,"Navigation, Layout, and Logistics Support",Bounded skill or supervisory,Command intervention,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Each controller runs for one simulated hour; results are mean total and component rewards, not task success or failure counts. Terrain reconstruction is evaluated on 500 samples.","Supports the stated walking-excavator model, procedural terrains, and posture objectives; physical transfer, driving, climbing, stepping, tool use, payload, soil interaction, and recovery remain outside scope."
CU_R115,R115,lee2022digital,Digital Twin-Driven Deep Reinforcement Learning for Adaptive Task Allocation in Robotic Construction,SINGLETON_R115,1,"Navigation, Layout, and Logistics Support",Task/planner-level,No reported active execution-time protection,L0,L0 — Simulation only,Task- or planner-level learned decisions,The DRL and a hand-coded first-arrival/max-load/delivery-order baseline are compared over 840 in-range and 360 out-of-range simulation samples using total bridge-construction time.,"Supports the hypothetical fully observed 49-brick project, three varied rate parameters, and abstract task allocation; synchronized sensing, physical motion, assembly quality, human interaction, failure recovery, and field deployment remain outside scope."
CU_R116,R116,cai2023prediction,Prediction-based path planning for safe and efficient human--robot collaboration in construction via deep reinforcement learning,SINGLETON_R116,1,"Navigation, Layout, and Logistics Support",Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Ten thousand 100-step simulated episodes compare prediction-based and conventional DQN using arrival, path ratio, current collision, and predicted-location collision rates.","Supports the stated fully observed 0.5-m grid, nearest-worker representation, five-step forecast, and simulated motion; physical sensing, static geometry, robot dynamics, hard safety, diverse sites, and recovery remain outside scope."
CU_R117,R117,xu_deep_2023,Deep Reinforcement Learning-based Task Assignment and Path Planning for Multi-agent Construction Robots,SINGLETON_R117,1,"Navigation, Layout, and Logistics Support",Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Only training reward and subreward curves are reported. No independent inference protocol, repeated seeds, task-completion denominator, or quantitative path outcome is provided.","Supports three virtual TurtleBots, fixed roles, goal-area travel, and reward learning. The learned action is a linear-velocity reference toward the assigned goal (mid-level interface); obstacle rigid bodies and the obstacle-proximity reward were removed for the proof of concept; obstacle-aware planning, construction manipulation, repeated evaluation, physical deployment, role adaptation, and recovery remain outside scope."
CU_R118,R118,Wang2024105538,Synchronized path planning and tracking for front and rear axles in articulated wheel loaders,SINGLETON_R118,1,"Navigation, Layout, and Logistics Support",Bounded skill or supervisory,Boundary monitoring,L2,L2 — Varied laboratory hardware,"Mediated skill/reference, supervisory, or shared-control configuration","Two physical V-shaped paths compare front-and-rear RL with front-axle-only RL. Each appears to be a single trajectory; maximum, average, and variance over time samples are reported rather than replicated trials.","Supports obstacle-free, near-constant-speed path tracking on the stated scale platform and initial-error cases only."
CU_R119,R119,zhao2024adaptive_navigation,Adaptive Intelligence for Robot Navigation Efficiency with a Deep Reinforcement Learning-Based Cyber-Physical System,SINGLETON_R119,1,"Navigation, Layout, and Logistics Support",Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Known-map tests compare TD3, A*, and one human tester over 20 attempts per method in each of I-, C-, and L-shaped Gazebo layouts. Unknown-map tests compare TD3 with the same human tester over 20 attempts per method in each layout, with obstacle positions randomized before every attempt. Reach-goal time and collisions per attempt are recorded.","Supports simulated 9 m by 9 m navigation with the stated LiDAR representation, layouts, per-cell attempt count, and comparators. Physical learned-policy execution, moving-site hazards, hard collision containment, post-collision recovery, and field reliability remain outside scope."
CU_R120,R120,babu2025stepping,Stepping Locomotion for a Walking Excavator Robot using Hierarchical Reinforcement Learning and Action Masking,L009_ARTER_WALKING_EXCAVATOR_SIMULATION,2,"Navigation, Layout, and Logistics Support",Bounded skill or supervisory,Command intervention,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Successful stepping sequences and selected goal distributions are shown. No evaluation denominator, repeated seed, rate, failure count, terrain range, or baseline is reported.","Supports the stated Bullet ARTER model, learned subcontrollers, action masks, and illustrated obstacle sequences; physical transfer, quantitative reliability, terrain generalization, soil interaction, recovery, and earthwork remain outside scope."
CU_R121,R121,duan2025enhancing,Enhancing construction robot collaboration via multiagent reinforcement learning,SINGLETON_R121,1,"Navigation, Layout, and Logistics Support",Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Each of four frozen policies is run 100 times from randomized initial object positions. Table 3 reports pick-up or placement rates, collisions per episode, and average steps; A2C and centralized PPO learning curves are also shown.","Supports the specified PR2 model, four virtual tasks, randomized object positions, and RL--IK composition; physical installation, small fasteners, sensor uncertainty, people, construction loads, post-failure recovery, and field deployment remain outside scope."
CU_R122,R122,duan2025safety,Safety-constrained Deep Reinforcement Learning control for human--robot collaboration in construction,SINGLETON_R122,1,"Navigation, Layout, and Logistics Support",Bounded skill or supervisory,Formal runtime enforcement,L2,L2 — Varied laboratory hardware,"Mediated skill/reference, supervisory, or shared-control configuration","Three simulation tasks are each evaluated over 100 randomized tests after training: a static worker in the planned path, a worker approaching and retreating, and a worker crossing the path. Additional conditions fix worker velocity at its maximum or change posture to standard standing; six control methods are compared.","Supports single-worker separation and bounded robot dynamics for the reported fixed xArm, calibrated single-camera sensing, reaching task, static/dynamic intrusion patterns, and laboratory geometry. It does not support high-speed opposing human motion beyond actuation capability, occluded/multiple workers, extended manipulated objects, close-contact handover, mobile equipment, or resumed construction production."
CU_R123,R123,muafi2025vision,Vision-based Control for Excavator Navigation Using Deep Reinforcement Learning,L015_MUAFI_LAKSANA_WEBOTS_EXCAVATOR_NAVIGATION,2,"Navigation, Layout, and Logistics Support",Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","One fixed-target trajectory and four separately relocated visible-target cases are shown. The paper reports target attainment but no repeated-trial success denominator, collision metric, path metric, uncertainty interval, or navigation baseline.","Supports the simplified wheeled model, one visually distinctive target, exact bounded arena, and five illustrated target cases; unseen-target search, obstacle navigation, physical dynamics, repeated reliability, excavation, recovery, and hardware remain outside scope."
CU_R124,R124,wu2025robot,Robot in the loop: a human-centered approach to contextualizing {AI} and robotics in construction,SINGLETON_R124,1,"Navigation, Layout, and Logistics Support",Bounded skill or supervisory,Command intervention,L5,L5 — Workflow-integrated repeated operation,"Mediated skill/reference, supervisory, or shared-control configuration","Two lab scenarios contain ten test cases each; four runs per case, two RL and two non-RL, yield 80 randomized and evaluator-blinded runs. A separate three-hour site session asks workers to enact three formwork-support prompts; the third is curtailed by technical malfunction.","Supports socially aware tool-delivery navigation in the reported lab and supervised construction-floor settings. It does not support autonomous loading, collision-free certification, recovery from mapping failure, or long-term deployment reliability."
CU_R125,R125,duan2026uav_tower_crane,Path planning for UAV-based construction safety inspection under spatiotemporal interference from tower cranes,SINGLETON_R125,1,"Navigation, Layout, and Logistics Support",Task/planner-level,Command intervention,L0,L0 — Simulation only,Task- or planner-level learned decisions,"The simplified-model comparison contrasts a fixed-height orthographic route with the hierarchical learned route. The project-derived-model comparison contrasts a traditional fixed-height route, a TSP route using optimized viewpoints, and the PPO-plus-low-level route. Reported outputs are generated routes, coverage, total time, waiting time, and modeled hazard intrusion; no repetition count or uncertainty interval is stated.","Supports hierarchical viewpoint sequencing and deterministic spatiotemporal avoidance in one simplified model and one site-derived model under stated crane kinematics. Physical learned-route flight, noisy or delayed crane-state estimation, sudden speed changes, multiple sites, multi-UAV operation, and fault recovery remain outside scope."
CU_R126,R126,gao2026deep,Deep reinforcement learning coupled with topological scene graph for dynamic path planning of autonomous bulldozer in complex earthwork construction,SINGLETON_R126,1,"Navigation, Layout, and Logistics Support",Task/planner-level,Command intervention,L4,L4 — Near-operational field trial,Task- or planner-level learned decisions,"Simulation reports success and path distance across 600 environments. Real-perception evaluation uses two tasks in each of eight fields for static tests and one task in each of six dynamic fields, with distance and steering comparisons.","Supports the stated autonomous bulldozer, low-speed earthwork transition, mapped obstacles, and two Lawa fields; repeated deployment, crowded human interaction, adverse perception, and high-speed operation remain outside scope."
CU_R127,R127,ren2026human_uav,Safety-aware predictive motion planning for close-range human-UAV collaboration in construction,SINGLETON_R127,1,"Navigation, Layout, and Logistics Support",Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Navigation and tool-interaction policies are evaluated in Gazebo 11/ROS Noetic across five scene variants with randomized obstacles and worker trajectories. The article reports 3,000 total planning trials, 1,500 per task type. Baselines are risk-unaware A* plus MPC, DWA, and the learned policy without the predictive safety map.","Supports forecast-conditioned UAV planning in the stated simulated indoor construction scenes and scripted worker tasks. Physical drone-worker collaboration, hard separation guarantees, collision recovery, varying vehicle dynamics, handheld-tool uncertainty beyond joint Gaussians, and field reliability remain outside scope."
