record_id,report_id,title,doi,year,retrieval_route,eligibility_decision,synthesis_role,exclusion_reason,decision_basis
U01195,,Solving Pre-erection Area Block Placement Problem Using Deep Reinforcement Learning,10.1007/978-981-99-1252-0_83,2023,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Shipbuilding block placement outside the prespecified construction/civil scope.
U01200,R056,Robotic architectural assembly with tactile skills: Simulation and optimization,10.1016/j.autcon.2021.104006,2022,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01207,R014,Learning to Break Rocks with Deep Reinforcement Learning,10.1109/lra.2023.3236562,2023,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,"Under the review eligibility criteria, transferability to construction is insufficient without a source-located construction/civil application."
U01212,R092,Real-time Obstacles Avoidance for Crawler Crane based on DQN,10.1145/3474963.3474993,2021,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01214,R022,Blade Control for Bulk Dozer Push by Bulldozer using Reinforcement Learning,10.1109/iecon55916.2024.10905075,2024,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,The evaluated application is explicitly mining.
U01226,R094,Reinforcement Learning-Based Transportation and Sway Suppression Methods for Gantry Cranes in Simulated Environment,10.1109/wsc57314.2022.10015415,2022,database retrieved,include,Eligible contextual,,The explicit construction-site task meets the construction/civil-infrastructure scope criterion; included in the contextual synthesis because validation is limited to a simplified simulator.
U01243,,Deep Reinforcement Learning for Prefab Assembly Planning in Robot-based Prefabricated Construction,10.1109/case49439.2021.9551402,2021,database retrieved,exclude,,Duplicate or superseded report,Earlier conference report superseded by the more complete journal report in the eligible corpus.
U01275,R055,Robotic assembly of timber joints using reinforcement learning,10.1016/j.autcon.2021.103569,2021,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01282,R096,Zero-Shot Sim2Real Transfer of Deep Reinforcement Learning Controller for Tower Crane System,10.1016/j.ifacol.2023.10.867,2023,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01283,R085,Online reinforcement learning with passivity-based stabilizing term for real time overhead crane control without knowledge of the system model,10.1016/j.conengprac.2022.105302,2022,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Generic industry list is insufficient under the strict rule
U01326,R115,Digital twin-driven deep reinforcement learning for adaptive task allocation in robotic construction,10.1016/j.aei.2022.101710,2022,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01332,R130,Autonomous Navigation of Wheel Loaders using Task Decomposition and Reinforcement Learning,10.1109/case56687.2023.10260481,2023,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01371,R095,A Real-time Smooth Lifting Path Planning for Tower Crane Based on TD3 with Discrete-Continuous Hybrid Action Space,10.1145/3547578.3547592,2022,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01376,,Reinforcement Learning for the Face Support Pressure of Tunnel Boring Machines,10.3390/geosciences13030082,2023,database retrieved,exclude,,The learned output does not enter embodied task execution,DQN predicts tunnel support pressure; the learned output is not reported as part of embodied execution.
U01377,R154,An Integrated Approach Combining Virtual Environments and Reinforcement Learning to Train Construction Robots for Conducting Tasks Under Uncertainties,10.1007/978-3-031-34593-7_17,2023,database retrieved,include,Structured comparative,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U01380,R155,Disturbance-Observer based Reinforcement Learning for Overhead Crane Systems,10.1109/iccais56082.2022.9990215,2022,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,No source-located construction/civil application
U01398,R086,Controlling a Double-Pendulum Crane by Combining Reinforcement Learning and Conventional Control,10.23919/acc55779.2023.10156044,2023,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Laboratory crane mechanics alone do not establish construction eligibility
U01403,R054,Teaching robots to perform quasi-repetitive construction tasks through human demonstration,10.1016/j.autcon.2020.103370,2020,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01404,,DDPG-Based PID Optimal Controller for Position and Sway Angle of RTGC,10.23919/iccas59377.2023.10316869,2023,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Container-yard crane operation outside the prespecified construction/civil scope.
U01411,R009,Towards autonomous and optimal excavation of shield machine: a deep reinforcement learning-based approach; [题目:迈向盾构机自主最优掘进:一种基于深度强化学习的方法],10.1631/jzus.a2100325,2022,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01418,R156,Study on the Autonomous Walking of an Underground Definite Route LHD Machine Based on Reinforcement Learning,10.3390/app12105052,2022,database retrieved,include,Structured comparative,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U01422,R065,Visual Spatial Attention and Proprioceptive Data-Driven Reinforcement Learning for Robust Peg-in-Hole Task Under Variable Conditions,10.1109/lra.2023.3243526,2023,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01434,R157,Safe Crane Handling with Collision-Free Path Planning using DDPG,10.1109/lars/sbr/wre59448.2023.10333057,2023,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Offshore application is outside the construction/civil-infrastructure scope of this review
U01438,R003,Route optimization for autonomous bulldozer by distributed deep reinforcement learning,10.1109/icm46511.2021.9385686,2021,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01440,R023,Generalized Framework for Wheel Loader Automatic Shoveling Task with Expert Initialized Reinforcement Learning,10.1109/sii58957.2024.10417575,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01441,R043,Wheel Loader Scooping Controller Using Deep Reinforcement Learning,10.1109/access.2021.3056625,2021,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01470,R075,Experimental Digital Twin of a Tunnel Ring Building Erector,10.1109/eurocon56442.2023.10198935,2023,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01476,R005,A General Approach for the Automation of Hydraulic Excavator Arms Using Reinforcement Learning,10.1109/lra.2022.3152865,2022,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01485,R158,A real-time trajectory planning method for overhead crane based on deep reinforcement learning,10.1109/yac63405.2024.10598810,2024,database retrieved,include,Eligible contextual,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U01489,R093,Automation of crane control for block lifting based on deep reinforcement learning,10.1093/jcde/qwac063,2022,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01490,R129,Autonomous construction hoist system based on deep reinforcement learning in high-rise building construction,10.1016/j.autcon.2021.103737,2021,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01513,R002,Simulation-based Reinforcement Learning Approach towards Construction Machine Automation,,2020,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01522,R042,Automated Excavator Based on Reinforcement Learning and Multibody System Dynamics,10.1109/access.2020.3040246,2020,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01523,,Cyber agent to support workers' decision making for mechanized earthwork,,2020,database retrieved,exclude,,The learned output does not enter embodied task execution,The cyber agent supports worker decisions but does not control embodied task execution.
U01559,R001,Autonomous grading work using deep reinforcement learning based control,10.1109/iecon.2018.8591189,2018,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01563,,Actor-critic reinforcement learning for the feedback control of a swinging chain,10.1016/j.ifacol.2018.07.308,2018,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Abstract swinging-chain model without an eligible construction robot or machine task.
U01569,R041,Optimal routing control of a construction machine by deep reinforcement learning,10.1109/amc.2019.8371085,2018,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01633,R083,Accuracy and Generality of Trained Models for Lift Planning Using Deep Reinforcement Learning-Optimization of the Crane Hook Movement between Two Points,,2020,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01650,R073,Slabstone installation skill acquisition for dual-arm robot based on reinforcement learning,10.1109/robio49542.2019.8961805,2019,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01655,R128,Robot construction simulation using deep reinforcement learning,,2020,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U02092,R038,"Large-Scale Robotic Material Handling: Learning, Planning, and Control",10.1109/tfr.2026.3662619,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U02315,R016,Reinforcement Learning-Based Bucket Filling for Autonomous Excavation,10.1109/tfr.2024.3432508,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
R008,R008,AGPNet -- Autonomous Grading Policy Network,10.22260/ICRA2022/0013,2022,Supplementary/citation/preprint route,include,Structured comparative,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
R012,R012,Learning excavation of rigid objects with offline reinforcement learning,10.48550/arxiv.2303.16427,2023,Supplementary/citation/preprint route,include,Structured comparative,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
R024,R024,3d operation of autonomous excavator based on reinforcement learning through independent reward for individual joints,10.48550/arxiv.2406.19848,2024,Supplementary/citation/preprint route,include,Structured comparative,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
R026,R026,Towards Learning Boulder Excavation with Hydraulic Excavators,10.48550/arxiv.2509.17683,2025,Supplementary/citation/preprint route,include,Structured comparative,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
R057,R057,A reinforcement learning based approach for conducting multiple tasks using robots in virtual construction environments,10.22260/icra2022/0014,2022,Supplementary/citation/preprint route,include,Structured comparative,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
R059,R059,Deep reinforcement learning-based construction robots collaboration for sequential tasks,10.22260/icra2022/0015,2022,Supplementary/citation/preprint route,include,Structured comparative,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
R060,R060,Learning robotic manipulation of natural materials with variable properties for construction tasks,10.1109/lra.2022.3159288,2022,Supplementary/citation/preprint route,include,Structured comparative,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
R066,R066,Training of construction robots using imitation learning and environmental rewards,10.1111/mice.13394,2025,Supplementary/citation/preprint route,include,Structured comparative,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
R070,R070,Teaching Robot End Effectors to Grasp Construction Tools Based on Deep Reinforcement Learning,10.29007/ft8h,2025,Supplementary/citation/preprint route,include,Structured comparative,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
R074,R074,Distributed Reinforcement Learning for Multi-robot Decentralized Collective Construction,10.1007/978-3-030-05816-6_3,2019,Supplementary/citation/preprint route,exclude,,Outside the construction or civil-infrastructure scope,The word construction in a swarm benchmark does not establish construction-industry scope under the review eligibility criteria.
R077,R077,Construction Robot Skill Learning for Fragile Object Installation with Low-Effort Demonstration and Sample-Efficient Hierarchical Reinforcement Learning Models,,2025,Supplementary/citation/preprint route,include,Eligible contextual,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
R079,R079,Reinforcement Learning Assisted Robotic Construction for Masonry Block Dry-Stacking in Simulation Environments,,2025,Supplementary/citation/preprint route,include,Eligible contextual,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
R110,R110,Autonomous robotic additive manufacturing through distributed model-free deep reinforcement learning in computational design environments,10.1007/s41693-022-00069-0,2022,Supplementary/citation/preprint route,include,Structured comparative,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
R117,R117,Deep Reinforcement Learning-based Task Assignment and Path Planning for Multi-agent Construction Robots,10.22260/icra2023/0008,2023,Supplementary/citation/preprint route,include,Structured comparative,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
R124,R124,Robot in the loop: a human-centered approach to contextualizing {AI} and robotics in construction,10.1007/s41693-024-00144-8,2025,Supplementary/citation/preprint route,include,Structured comparative,,"Previously included report identified through a documented supplementary search route, rather than retrieved by the four-database search."
U159,R159,A reinforcement learning based construction material supply strategy using robotic crane and computer vision for building reconstruction after an earthquake,10.48550/arXiv.2308.16280,2023,Supplementary/citation/preprint route,include,Structured comparative,,"Source-based eligibility assessment: construction embodied crane task; PPO actor and critic neural networks; original simulation evaluation; distinct crane, task, algorithm, and command path from R090."
U00532,R160,Learning Adaptive Controller for Hydraulic Machinery Automation,10.1109/LRA.2024.3372831,2024,database retrieved,include,Structured comparative,,PPO-trained neural cylinder controller; HEAP soil-contact grading; traceable IK/PID to cylinder-policy and valve-command execution (pp. 3974-3978).
