report_id,indicator,evidence_identified,source_location,evidence_summary,interpretation,evidence_form
R124,failed_aborted_count,N,PDF pp.14 and 17; Fig.13,RL组40次运行；图13成功率1.00，另报告每次冻结0.10及碰撞0.05,"Sandbox success results cannot determine site failures. A site malfunction is described, but no complete site task-outcome count is enumerated.",Outside criterion or not explicitly established
R124,human_effort_intervention,N,PDF pp.14–15; 5.2–5.3,舒适性交互判据包括迫使工人改变路径；讨论减少搬运负担,舒适性交互判据包括迫使工人改变路径；讨论减少搬运负担 舒适率并非直接记录的人工作业量或接管次数,Outside criterion or not explicitly established
R124,motion_metric,N,PDF pp.14–17; 5.2–5.3 and Fig.13,给舒适性、碰撞和冻结频次及路径图,Sandbox freezing/collision metrics are not transplanted to the site evaluation; a stated operating speed is not a measured motion-performance result.,Outside criterion or not explicitly established
R124,repeated_evaluation_denominator,N,PDF p.14; 5.3,两场景各10测试案例，每例4次运行，RL与非RL各2次，共80次,The 80 sandbox runs in Section 5.3 are not the highest-exposure site evaluation in Section 5.1. Three activity prompts are not a repeated-trial denominator.,Outside criterion or not explicitly established
R124,time_throughput,N,PDF pp.14–17,讨论减少往返与延迟，图13未给作业时间结果,The three-hour site session is not task completion time or measured throughput.,Outside criterion or not explicitly established
R126,failed_aborted_count,N,PDF pp.14–16,比较方法规划碰撞；本方法实机完成,比较方法规划碰撞；本方法实机完成 不把规划测试失败搬入实体运行,Outside criterion or not explicitly established
R126,human_effort_intervention,N,PDF p.16; real-world application,两工作区实机转移,两工作区实机转移 未确认人工投入结果,Outside criterion or not explicitly established
R126,motion_metric,N,PDF pp.14–16; 4.2 real application,规划距离与转弯指标源于实地感知数据测试；真正运行另述,规划距离与转弯指标源于实地感知数据测试；真正运行另述 未确认表中数值是实体执行轨迹测量,Outside criterion or not explicitly established
R126,repeated_evaluation_denominator,N,PDF p.16,明确两个实机工作区,明确两个实机工作区 工作区数与各区重复运行数需区分,Outside criterion or not explicitly established
R126,time_throughput,N,PDF pp.14–16,规划图节点数表示时间,规划图节点数表示时间 不能当实际推土机耗时,Outside criterion or not explicitly established
R160,failed_aborted_count,N,作者仓库PDF p.8,指出深挖和更大接触负荷下方法不适用,指出深挖和更大接触负荷下方法不适用 能力边界不等于实体失败次数,Outside criterion or not explicitly established
R160,human_effort_intervention,N,作者仓库PDF p.7,适配期间人工调整参考保证安全,适配期间人工调整参考保证安全 适配监督不是最终评价的人工投入结果,Outside criterion or not explicitly established
R160,motion_metric,Y,作者仓库PDF pp.7–8; V.A; Table I,HEAP实测速度、跟踪误差、铲刃角速度,HEAP实测速度、跟踪误差、铲刃角速度 仅该配置，SAHA结果不转入,Reported outcome
R160,repeated_evaluation_denominator,N,作者仓库PDF pp.7–8,HEAP多高度轨迹双向执行；SAHA明确三次,The explicit three repetitions belong to SAHA. The HEAP grading configuration does not inherit that denominator.,Outside criterion or not explicitly established
R160,time_throughput,N,作者仓库PDF pp.7–8,十分钟为适配时间,十分钟为适配时间 不当作最终实体任务耗时,Outside criterion or not explicitly established
